County,HOUSING OCCUPANCY Total housing units,UNITS IN STRUCTURE Total housing units,"UNITS IN STRUCTURE 1-unit, detached","UNITS IN STRUCTURE 1-unit, attached",UNITS IN STRUCTURE 2 units,UNITS IN STRUCTURE 3 or 4 units,UNITS IN STRUCTURE 5 to 9 units,UNITS IN STRUCTURE 10 to 19 units,UNITS IN STRUCTURE 20 or more units,YEAR STRUCTURE BUILT Built 2020 or later,YEAR STRUCTURE BUILT Built 2010 to 2019,YEAR STRUCTURE BUILT Built 2000 to 2009,YEAR STRUCTURE BUILT Built 1990 to 1999,YEAR STRUCTURE BUILT Built 1980 to 1989,YEAR STRUCTURE BUILT Built 1970 to 1979,YEAR STRUCTURE BUILT Built 1960 to 1969,YEAR STRUCTURE BUILT Built 1950 to 1959,YEAR STRUCTURE BUILT Built 1940 to 1949,YEAR STRUCTURE BUILT Built 1939 or earlier,BEDROOMS Total housing units,BEDROOMS No bedroom,BEDROOMS 1 bedroom,BEDROOMS 2 bedrooms,BEDROOMS 3 bedrooms,BEDROOMS 4 bedrooms,BEDROOMS 5 or more bedrooms,HOUSING TENURE Occupied housing units,HOUSING TENURE Owner-occupied,HOUSING TENURE Renter-occupied,YEAR HOUSEHOLDER MOVED INTO UNIT Occupied housing units,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2021 or later,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2018 to 2020,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2010 to 2017,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2000 to 2009,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 1990 to 1999,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 1989 and earlier,SELECTED CHARACTERISTICS Occupied housing units,VALUE Owner-occupied units (total num units),"VALUE (owner occupied) Less than $50,000","VALUE (owner occupied) $50,000 to $99,999","VALUE (owner occupied) $100,000 to $149,999","VALUE (owner occupied) $150,000 to $199,999","VALUE (owner occupied) $200,000 to $299,999","VALUE (owner occupied) $300,000 to $499,999","VALUE (owner occupied) $500,000 to $999,999","VALUE (owner occupied) $1,000,000 or more",VALUE (owner occupied) Median (dollars),MORTGAGE STATUS Owner-occupied units,MORTGAGE STATUS Housing units with a mortgage,MORTGAGE STATUS Housing units without a mortgage
Angelina,37288,37288,23456,575,563,948,710,1433,2202,840,4771,6340,5141,6821,6332,2756,1582,1310,1395,37288,381,3005,8729,19832,4321,1020,31996,20888,11108,31996,8818,6622,6415,3909,2431,3801,31996,20888,2709,3400,3001,3579,3284,3337,1357,221,167400,20888,10565,10323
Bastrop,41426,41426,26189,328,474,656,436,403,573,3941,10183,7660,6649,5378,3222,828,1676,235,1654,41426,1711,2435,6614,20254,8544,1868,38591,28828,9763,38591,9681,8796,9663,4691,2797,2963,38591,28828,1520,2311,1633,2893,4910,11057,4112,392,317000,28828,12773,16055
Bell,158782,158782,106655,6782,8408,9715,5938,6962,6953,9818,34362,33010,20037,22157,17756,8263,9883,2200,1296,158782,2772,14214,29875,66222,40739,4960,145863,85609,60254,145863,59073,31520,26113,14953,7354,6850,145863,85609,4875,4322,5369,11464,25706,24055,8185,1633,262300,85609,53617,31992
Bexar,836113,836113,535338,19034,14061,33583,52565,59655,98415,54199,134624,147044,89405,114319,100692,69640,58387,31956,35847,836113,34984,123419,167702,314959,162894,32155,758070,449545,308525,758070,259584,145478,143527,94913,56699,57869,758070,449545,18119,27157,35790,49199,124854,137897,49494,7035,277000,449545,270266,179279
Bowie,40178,40178,26205,647,1887,2592,687,1253,1446,935,5878,4252,3926,8178,7814,4856,2239,559,1541,40178,674,3141,11551,19209,5026,577,36110,23235,12875,36110,10135,6543,8564,4864,2605,3399,36110,23235,3912,3992,2878,3493,4639,3238,1083,0,160700,23235,11274,11961
Brazoria,154657,154657,112146,3450,930,1669,5765,6789,8942,8903,30968,33292,20612,17452,22141,10179,6242,2869,1999,154657,2958,10729,27061,63595,41995,8319,138692,101477,37215,138692,36626,30601,31790,23812,9677,6186,138692,101477,5164,4275,4537,9996,25611,41495,9595,804,304700,101477,63070,38407
Brazos,102864,102864,49999,7403,3918,8635,4522,6906,15240,5922,24731,20754,12930,14473,13864,4686,2860,1573,1071,102864,2192,14610,27186,34249,21240,3387,92216,42183,50033,92216,44785,15341,15320,10020,3996,2754,92216,42183,3100,1848,2560,3121,9662,15074,5758,1060,309300,42183,24072,18111
Cameron,162060,162060,105617,3666,5561,7377,4995,3926,12486,4668,23809,35730,26967,27135,21091,7789,7885,4163,2823,162060,5076,18795,37164,75806,21607,3612,143033,94661,48372,143033,31722,24638,29765,28106,14869,13933,143033,94661,11977,18351,15454,16605,17158,10548,3866,702,154200,94661,35104,59557
Collin,453903,453903,305710,12269,4504,8968,19122,27626,68349,45203,112174,111965,85316,54799,28010,7464,3912,1563,3497,453903,17012,60886,60086,124893,146821,44205,431746,275791,155955,431746,151821,94474,92816,58148,25889,8598,431746,275791,5426,1534,1489,4692,16311,103727,124745,17867,513100,275791,191187,84604
Comal,82086,82086,61852,1951,781,1388,1099,2060,6048,12937,23790,13332,9829,8285,7543,2917,1923,577,953,82086,1642,8218,12070,34602,21002,4552,75234,58955,16279,75234,21512,16134,20509,8910,5003,3166,75234,58955,3057,1426,1325,3160,5520,17577,21867,5023,465900,58955,39020,19935
