County,HOUSING OCCUPANCY Total housing units,BEDROOMS Total housing units,HOUSING TENURE Occupied housing units,HOUSING TENURE Owner-occupied,HOUSING TENURE Renter-occupied,SELECTED CHARACTERISTICS Occupied housing units,VALUE (owner occupied) Median (dollars),MORTGAGE STATUS Owner-occupied units,MORTGAGE STATUS Housing units with a mortgage,MORTGAGE STATUS Housing units without a mortgage,Single_Family_Homes,Other_Housing_Types,Newer_Homes,Older_Homes,sm_house,med_house,lg_house,CZ_NAME,DAMAGE_PROPERTY_NUMERIC,Total_Storm_Events
ANGELINA,37288,37288,31996,20888,11108,31996,167400,20888,10565.0,10323.0,23456,6431,11951,25337,12115,24153,1020,ANGELINA,0.0,10.0
BASTROP,41426,41426,38591,28828,9763,38591,317000,28828,12773.0,16055.0,26189,2870,21784,19642,10760,28798,1868,BASTROP,0.0,23.0
BELL,158782,158782,145863,85609,60254,145863,262300,85609,53617.0,31992.0,106655,44758,77190,81592,46861,106961,4960,BELL,2934000.0,80.0
BEXAR,836113,836113,758070,449545,308525,758070,277000,449545,270266.0,179279.0,535338,277313,335867,500246,326105,477853,32155,BEXAR,0.0,164.0
BOWIE,40178,40178,36110,23235,12875,36110,160700,23235,11274.0,11961.0,26205,8512,11065,29113,15366,24235,577,BOWIE,0.0,23.0
BRAZORIA,154657,154657,138692,101477,37215,138692,304700,101477,63070.0,38407.0,112146,27545,73163,81494,40748,105590,8319,BRAZORIA,0.0,6.0
BRAZOS,102864,102864,92216,42183,50033,92216,309300,42183,24072.0,18111.0,49999,46624,51407,51457,43988,55489,3387,BRAZOS,20800.0,33.0
CAMERON,162060,162060,143033,94661,48372,143033,154200,94661,35104.0,59557.0,105617,38011,64207,97853,61035,97413,3612,CAMERON,0.0,15.0
COLLIN,453903,453903,431746,275791,155955,431746,513100,275791,191187.0,84604.0,305710,140838,269342,184561,137984,271714,44205,COLLIN,1302859000.0,124.0
COMAL,82086,82086,75234,58955,16279,75234,465900,58955,39020.0,19935.0,61852,13327,50059,32027,21930,55604,4552,COMAL,0.0,45.0
CORYELL,29882,29882,28070,17323,10747,28070,216100,17323,,,21863,6802,10037,19845,6843,22229,810,CORYELL,699000.0,40.0
DALLAS,1079042,1079042,993312,499830,493482,993312,319100,499830,285924.0,213906.0,551541,509850,317139,761903,537131,509335,32576,DALLAS,2953000.0,130.0
DENTON,390775,390775,370503,244791,125712,370503,460300,244791,172066.0,72725.0,270876,110572,230708,160067,111842,248781,30152,DENTON,209220000.0,223.0
ECTOR,70135,70135,66937,43278,23659,66937,196500,43278,20134.0,23144.0,42334,14737,20693,49442,26719,42660,756,ECTOR,25000.0,70.0
ELLIS,78763,78763,75570,56467,19103,75570,366500,56467,35708.0,20759.0,62300,10737,43711,35052,18250,56929,3584,ELLIS,20695000.0,102.0
EL,326149,326149,301198,190745,110453,301198,191100,190745,97244.0,93501.0,223340,84196,116100,210049,99382,214881,11886,,,
FORT,318065,318065,303900,234554,69346,303900,384100,234554,146652.0,87902.0,265427,46927,204288,113777,54350,223411,40304,,,
GALVESTON,164232,164232,142199,96862,45337,142199,315000,96862,56428.0,40434.0,118127,38949,68506,95726,56248,101114,6870,GALVESTON,10.0,13.0
GRAYSON,64132,64132,56267,37211,19056,56267,281700,37211,17696.0,19515.0,47896,10142,18858,45274,19659,42126,2347,GRAYSON,453000.0,94.0
GREGG,54275,54275,47550,28378,19172,47550,197700,28378,13228.0,15150.0,33561,15698,14524,39751,18358,35100,817,GREGG,0.0,18.0
GUADALUPE,72231,72231,69236,56054,13182,69236,325000,56054,35747.0,20307.0,58519,6855,42438,29793,13679,54505,4047,GUADALUPE,0.0,27.0
HARRIS,1952822,1952822,1791013,988178,802835,1791013,287100,988178,566392.0,421786.0,1099276,804035,749882,1202940,844360,1022655,85807,HARRIS,0.0,92.0
HARRISON,30094,30094,26811,19523,7288,26811,201900,19523,10059.0,9464.0,22715,2593,8875,21219,7418,22401,275,HARRISON,0.0,23.0
HAYS,110248,110248,105917,67818,38099,105917,428400,67818,47645.0,20173.0,73618,30653,74265,35983,32918,72741,4589,HAYS,10005000.0,33.0
HENDERSON,42610,42610,33957,26630,7327,33957,212500,26630,10345.0,16285.0,28146,2880,13186,29424,15304,25138,2168,HENDERSON,40000.0,34.0
HIDALGO,314617,314617,277001,184249,92752,277001,151200,184249,70565.0,113684.0,200735,68032,161087,153530,120569,186333,7715,HIDALGO,335000.0,34.0
HOOD,29446,29446,25660,20647,5013,25660,350100,20647,11548.0,9099.0,21386,3309,13020,16426,7466,21711,269,HOOD,1452000.0,55.0
HUNT,44276,44276,40067,28720,11347,40067,259800,28720,14370.0,14350.0,30699,6593,15663,28613,13583,30216,477,HUNT,115000.0,36.0
JEFFERSON,110636,110636,94005,60906,33099,94005,171000,60906,26016.0,34890.0,80192,26629,30217,80419,45212,63530,1894,JEFFERSON,0.0,16.0
JOHNSON,73192,73192,65934,49512,16422,65934,310900,49512,30900.0,18612.0,49987,10210,35676,37516,16098,54527,2567,JOHNSON,2297000.0,62.0
KAUFMAN,55790,55790,52963,43208,9755,52963,347000,43208,28983.0,14225.0,45201,4985,38241,17549,10173,42736,2881,KAUFMAN,754000.0,48.0
LIBERTY,37530,37530,32959,26630,6329,32959,201200,26630,14145.0,12485.0,20802,2764,18858,18672,10007,26591,932,LIBERTY,0.0,7.0
LUBBOCK,142808,142808,128053,66968,61085,128053,213900,66968,34079.0,32889.0,90626,44836,48407,94401,56097,85085,1626,LUBBOCK,150000000.0,36.0
MCLENNAN,109561,109561,96965,62830,34135,96965,264100,62830,33088.0,29742.0,73943,30028,34624,74937,42082,64157,3322,MCLENNAN,7466000.0,60.0
MIDLAND,73645,73645,70890,46554,24336,70890,314500,46554,27295.0,19259.0,45749,22758,30489,43156,27831,43427,2387,MIDLAND,370500.0,58.0
MONTGOMERY,280341,280341,262273,182061,80212,262273,359800,182061,114785.0,67276.0,191219,58771,170750,109591,71546,190613,18182,MONTGOMERY,0.0,16.0
NACOGDOCHES,29235,29235,25074,14418,10656,25074,201500,14418,5759.0,8659.0,16195,7551,7719,21516,12064,16781,390,NACOGDOCHES,0.0,30.0
NUECES,155871,155871,132759,78509,54250,132759,213500,78509,40058.0,38451.0,99825,48059,42884,112987,65286,87606,2979,NUECES,0.0,1.0
ORANGE,38185,38185,33271,23964,9307,33271,180500,23964,10453.0,13511.0,26366,5574,11178,27007,14073,22799,1313,ORANGE,0.0,2.0
PARKER,61205,61205,57996,46526,11470,57996,383100,46526,27137.0,19389.0,46234,6934,35891,25314,13696,46124,1385,PARKER,1714000.0,69.0
POTTER,49683,49683,42674,25303,17371,42674,144800,25303,11111.0,14192.0,34390,11449,7134,42549,23984,24263,1436,POTTER,18002000.0,67.0
RANDALL,62194,62194,56279,38800,17479,56279,236900,38800,22181.0,16619.0,42214,14508,21900,40294,19327,41548,1319,RANDALL,5073000.0,79.0
ROCKWALL,46264,46264,43259,34738,8521,43259,429700,34738,23710.0,11028.0,39764,5125,31594,14670,6561,35603,4100,ROCKWALL,2350000.0,19.0
SAN,30845,30845,25735,17615,8120,25735,193200,17615,9065.0,8550.0,21592,5734,9811,21034,9860,20496,489,,,
SMITH,100755,100755,81987,57201,24786,81987,272700,57201,28989.0,28212.0,67035,22256,38112,62643,33541,63962,3252,SMITH,0.0,57.0
STARR,23208,23208,19004,12708,6296,19004,89600,12708,,,18158,2553,9670,13538,8285,14476,447,STARR,5000.0,15.0
TARRANT,861091,861091,801716,468641,333075,801716,336000,468641,288493.0,180148.0,560244,284931,331378,529713,314325,505245,41521,TARRANT,821478000.0,291.0
TAYLOR,62978,62978,54805,32505,22300,54805,200300,32505,17460.0,15045.0,43675,15097,15084,47894,20514,40204,2260,TAYLOR,0.0,70.0
TOM,52674,52674,47638,28060,19578,47638,198500,28060,13457.0,14603.0,35335,13707,12293,40381,22330,29692,652,,,
TRAVIS,644946,644946,608921,317631,291290,608921,569000,317631,214704.0,102927.0,331139,296138,321123,323823,301457,320379,23110,TRAVIS,300003000.0,118.0
VICTORIA,39826,39826,34484,23318,11166,34484,202400,23318,10156.0,13162.0,26712,8371,10767,29059,12978,26094,754,VICTORIA,0.0,8.0
WALKER,31405,31405,26539,15536,11003,26539,298600,15536,,,16451,10872,11554,19851,11950,18269,1186,WALKER,50000.0,12.0
WEBB,89651,89651,83045,54264,28781,83045,200800,54264,29341.0,24923.0,60253,22698,40918,48733,29021,58717,1913,WEBB,18000.0,27.0
WICHITA,55973,55973,49403,31701,17702,49403,168100,31701,14748.0,16953.0,41673,12362,8886,47087,21348,34504,121,WICHITA,0.0,123.0
WILLIAMSON,275590,275590,264986,174598,90388,264986,464800,174598,119028.0,55570.0,197214,73281,181228,94362,78380,180913,16297,WILLIAMSON,300000000.0,102.0
WISE,27986,27986,26319,21389,4930,26319,318300,21389,12258.0,9131.0,20563,1826,12848,15138,6428,20429,1129,WISE,1902000.0,62.0
